Bitola;R_ohm_km;X_ohm_km;I_admissivel;Custo_por_metro
1,5;12,10;0,08;15,5;2,40
2,5;7,41;0,08;21,0;3,20
4;4,61;0,08;28,0;4,65
6;3,08;0,08;36,0;6,20
10;1,83;0,07;50,0;9,50
16;1,15;0,07;68,0;15,10
25;0,727;0,07;89,0;24,50
35;0,524;0,06;111,0;33,50
50;0,387;0,06;134,0;46,00
70;0,268;0,06;171,0;62,90
95;0,193;0,06;207,0;82,00
120;0,153;0,05;239,0;120,00
150;0,124;0,05;272,0;140,00
185;0,0991;0,05;310,0;170,00
240;0,0754;0,05;364,0;215,00
300;0,0601;0,05;419,0;270,00
400;0,0470;0,04;502,0;360,00
500;0,0366;0,04;578,0;470,00
